web-scraper-order,web-scraper-start-url,linki,linki-href
"1630625562-245","https://www.msn.com/en-us/Sports","Michael Irvin (and Tim Tebow) Joining Stephen A. Smith on ESPN 'First…
                            
                                    


                Cowboy Maven on FanNation","https://www.msn.com/en-us/sports/nfl/michael-irvin-and-tim-tebow-joining-stephen-a-smith-on-espn-first-take/ar-AAO2fdh"
"1630625562-472","https://www.msn.com/en-us/Sports","Player slams Barcelona for ‘unfair’ treatment as exit is confirmed
                            
                                    


                Teamtalk","https://www.msn.com/en-us/sports/mls/player-slams-barcelona-for-unfair-treatment-as-exit-is-confirmed/ar-AAO1uxW"
"1630625562-396","https://www.msn.com/en-us/Sports","Photos
                            
                        26 years ago today Northwestern stunned No. 9 Notre Dame
                            
                                    


                SMG","https://www.msn.com/en-us/sports/ncaafb/26-years-ago-today-northwestern-stunned-no-9-notre-dame/ss-AAO1IKi"
"1630625562-890","https://www.msn.com/en-us/Sports","Dolphins Get One, Lose One on Waivers
                            
                                    


                All Dolphins","https://www.msn.com/en-us/sports/nfl/dolphins-get-one-lose-one-on-waivers/ar-AANZipm"
"1630625562-264","https://www.msn.com/en-us/Sports","Christian Pulisic and Zack Steffen both doubts for USMNT World Cup…
                            
                                    


                90min","https://www.msn.com/en-us/sports/soccer/christian-pulisic-and-zack-steffen-both-doubts-for-usmnt-world-cup-qualifiers/ar-AAO240U"
"1630625562-774","https://www.msn.com/en-us/Sports","4th and Inches Podcast: A Husky Position Preview
                            
                                    


                Husky Maven on FanNation","https://www.msn.com/en-us/sports/ncaafb/4th-and-inches-podcast-a-husky-position-preview/ar-AANZAes"
"1630625562-476","https://www.msn.com/en-us/Sports","'Good Morning Football' Crew Absolutely Perplexed By Tony…
                            
                                    


                The Big Lead","https://www.msn.com/en-us/sports/nfl/good-morning-football-crew-absolutely-perplexed-by-tony-romo-anointing-zach-wilson/ar-AAO1nvi"
"1630625562-387","https://www.msn.com/en-us/Sports","Arsenal midfielder excited for ‘important’ Serie A loan
                            
                                    


                Football365","https://www.msn.com/en-us/sports/soccer/arsenal-midfielder-excited-for-important-serie-a-loan/ar-AAO1FDF"
"1630625562-83","https://www.msn.com/en-us/Sports","Oscar Valdez test positive for banned substance, according to report
                        Junior lightweight titleholder Oscar Valdez has tested positive for a diuretic, which is a banned substance, ESPN is reporting. Valdez's A-sample, taken by the Voluntary Anti-Doping Association, came back positive. The results of his B-sample have yet to be determined.…
                            
                                    


                Boxing Junkie","https://www.msn.com/en-us/sports/more-sports/oscar-valdez-test-positive-for-banned-substance-according-to-report/ar-AANX4hn"
"1630625562-606","https://www.msn.com/en-us/Sports","'Every Game Matters': Blue Jays Scrape Out Needed Series Win
                            
                                    


                Inside The Blue Jays on FanNation","https://www.msn.com/en-us/sports/mlb/every-game-matters-blue-jays-scrape-out-needed-series-win/ar-AAO0hdx"
"1630625562-323","https://www.msn.com/en-us/Sports","Kyle Shanahan Has Blunt Message About Quarterback Decision
                        For some reason, there’s still some confusion surrounding who will be the 49ers‘ starting quarterback in Week 1. Regardless, Kyle Shanahan isn’t going to give a clear-cut answer. Jimmy Garoppolo has been the 49ers’ starting quarterback throughout all of training camp. He started every preseason…
                            
                                    


                The Spun","https://www.msn.com/en-us/sports/nfl/kyle-shanahan-has-blunt-message-about-quarterback-decision/ar-AAO24Er"
"1630625562-478","https://www.msn.com/en-us/Sports","The Crow’s Nest: Roster decisions, early picks, and the depth chart
                            
                                    


                SB Nation","https://www.msn.com/en-us/sports/nfl/the-crows-nest-roster-decisions-early-picks-and-the-depth-chart/ar-AAO1v39"
"1630625562-392","https://www.msn.com/en-us/Sports","Who is the best paid women's footballer?
                            
                                    


                FourFourTwo","https://www.msn.com/en-us/sports/soccer/who-is-the-best-paid-womens-footballer/ar-AAO2cn0"
"1630625562-930","https://www.msn.com/en-us/Sports","Will the Ravens Revisit Todd Gurley at Running Back?
                            
                                    


                Raven Country on FanNation","https://www.msn.com/en-us/sports/nfl/will-the-ravens-revisit-todd-gurley-at-running-back/ar-AANZfNV"
"1630625562-696","https://www.msn.com/en-us/Sports","Al Michaels responds to talk of possible retirement
                            
                                    


                Larry Brown Sports","https://www.msn.com/en-us/sports/nfl/al-michaels-responds-to-talk-of-possible-retirement/ar-AANZPa6"
"1630625562-834","https://www.msn.com/en-us/Sports","Jaguars Tie NFL Lead in Players Claimed by Other Teams
                            
                                    


                Jaguar Report on FanNation","https://www.msn.com/en-us/sports/nfl/jaguars-tie-nfl-lead-in-players-claimed-by-other-teams/ar-AANZnc9"
"1630625562-405","https://www.msn.com/en-us/Sports","Latest weather forecast for the Dutch Grand Prix
                            
                                    


                PlanetF1","https://www.msn.com/en-us/sports/more-sports/latest-weather-forecast-for-the-dutch-grand-prix/ar-AAO1IKP"
"1630625562-909","https://www.msn.com/en-us/Sports","Giants add Collin Johnson, Justin Hilliard, Quincy Roche as waiver…
                        Three of the 53 players who made the Giants roster on Tuesday will be off of it on Wednesday. The league announced that the Giants have added three players as waiver claims. Linebackers Justin Hilliard and Quincy Roche will join the defense while Collin Johnson will join the receiving corps. Johnson was a…
                            
                                    


                NBC Sports","https://www.msn.com/en-us/sports/nfl/giants-add-collin-johnson-justin-hilliard-quincy-roche-as-waiver-claims/ar-AANZo2I"
"1630625562-219","https://www.msn.com/en-us/Sports","Yankees hope home field sparks new streak vs. Orioles
                        BASEBALL-MLB-NYY-BAL/PREVIEW
                            
                                    


                Reuters","https://www.msn.com/en-us/sports/mlb/yankees-hope-home-field-sparks-new-streak-vs-orioles/ar-AAO2mVc"
"1630625562-477","https://www.msn.com/en-us/Sports","Video
                            
                        Bees invade soccer pitch in Bolivia
                            
                                    


                Reuters","https://www.msn.com/en-us/sports/soccer/bees-invade-soccer-pitch-in-bolivia/vi-AAO1qsN"
"1630625562-315","https://www.msn.com/en-us/Sports","Ron Rivera: We’re feeling “very confident” Curtis Samuel will be available…
                        Washington receiver Curtis Samuel has been largely sidelined throughout the preseason with a groin injury, but it looks like he still has a good chance to play in Week One. Head coach Ron Rivera said on Thursday that he’s very optimistic that Samuel will be out there for the season opener against the…
                            
                                    


                NBC Sports","https://www.msn.com/en-us/sports/nfl/ron-rivera-were-feeling-%e2%80%9cvery-confident%e2%80%9d-curtis-samuel-will-be-available-in-week-one/ar-AAO252i"
"1630625562-280","https://www.msn.com/en-us/Sports","Soccer - Injured Mbappe ruled out of France World Cup qualifiers
                        PARIS (Reuters) -   Kylian Mbappe has been ruled out of France's World Cup qualifiers against Ukraine and Finland after sustaining a calf injury in Wednesday's 1-1 draw against Bosnia, the French federation said on Thursday. ""Kylian Mbappe felt a pain in his right calf at the end of the match against…
                            
                                    


                Reuters","https://www.msn.com/en-us/sports/more-sports/soccer-injured-mbappe-ruled-out-of-france-world-cup-qualifiers/ar-AAO25Co"
"1630625562-815","https://www.msn.com/en-us/Sports","Kirk Herbstreit Has Brutally Honest Comment On Nebraska Fans
                        We’re only a week into the 2021 college football season and it appears ESPN analyst Kirk Herbstreit has already found himself in trouble with Nebraska’s fan base. While on a conference call with the media on Wednesday afternoon, Herbstreit jokingly said “Nebraska fans hate me.” Dan Wolken of USA Today…
                            
                                    


                The Spun","https://www.msn.com/en-us/sports/ncaafb/kirk-herbstreit-has-brutally-honest-comment-on-nebraska-fans/ar-AANZwXb"
"1630625562-314","https://www.msn.com/en-us/Sports","Video
                            
                        Garafolo: Cowboys activate CeeDee Lamb, two others from…
                            
                                    


                NFL","https://www.msn.com/en-us/sports/nflvideos/garafolo-cowboys-activate-ceedee-lamb-two-others-from-reserve-covid-19-list/vi-AAO22Vp"
"1630625562-168","https://www.msn.com/en-us/Sports","Saúl Ñíguez looking forward to playing for Tuchel, winning with…
                            
                                    


                SB Nation","https://www.msn.com/en-us/sports/soccer/sa%c3%bal-%c3%b1%c3%adguez-looking-forward-to-playing-for-tuchel-winning-with-chelsea/ar-AAO2dN3"
"1630625562-339","https://www.msn.com/en-us/Sports","Cowboys injury news: Mike McCarthy announces six players to…
                            
                                    


                SB Nation","https://www.msn.com/en-us/sports/nfl/cowboys-injury-news-mike-mccarthy-announces-six-players-to-injured-reserve-with-designation-to-return/ar-AAO1XzY"
"1630625562-253","https://www.msn.com/en-us/Sports","Big 12 identifies 4 schools for expansion, taking another step toward…
                            
                                    


                SB Nation","https://www.msn.com/en-us/sports/ncaafb/big-12-identifies-4-schools-for-expansion-taking-another-step-toward-irrelevance/ar-AAO2hus"
"1630625562-141","https://www.msn.com/en-us/Sports","Unvaccinated Carson Wentz says the league’s protocol “keeps me up…
                        Despite the lack of transparency when it comes to which players are and aren’t vaccinated, circumstances will sometimes reveal the truth. For Colts quarterback Carson Wentz, the truth — thanks to a five-day absence after being deemed a close contact with someone who tested positive — is that he’s not…
                            
                                    


                NBC Sports","https://www.msn.com/en-us/sports/nfl/unvaccinated-carson-wentz-says-the-leagues-protocol-%e2%80%9ckeeps-me-up-at-night%e2%80%9d/ar-AAO2jGC"
"1630625562-951","https://www.msn.com/en-us/Sports","Who's In, Who's Out: Kansas City Chiefs Practice Squad Tracker
                            
                                    


                Arrowhead Report on FanNation","https://www.msn.com/en-us/sports/nfl/whos-in-whos-out-kansas-city-chiefs-practice-squad-tracker/ar-AANZhqu"
"1630625562-403","https://www.msn.com/en-us/Sports","It’s Too Soon to Panic About Jarred Kelenic
                            
                                    


                SB Nation","https://www.msn.com/en-us/sports/mlb/its-too-soon-to-panic-about-jarred-kelenic/ar-AAO1Rqo"
"1630625562-877","https://www.msn.com/en-us/Sports","Report: Broncos release running back Royce Freeman
                            
                                    


                SB Nation","https://www.msn.com/en-us/sports/nfl/report-broncos-release-running-back-royce-freeman/ar-AANZqWM"
"1630625562-370","https://www.msn.com/en-us/Sports","Shaquille O'Neal On The Lakers Being An 'Old' Team: “They’re Older…
                        The Los Angeles Lakers were one of the most aggressive teams in the offseason. Rob Pelinka made plenty of moves in little-to-no time, stacking the roster with experienced players following their heartbreaking loss in the first round of the playoffs. And, even though the team has a much better ...
                            
                                    


                Fadeaway World","https://www.msn.com/en-us/sports/nba/shaquille-oneal-on-the-lakers-being-an-old-team-%e2%80%9ctheyre-older-but-until-you-can-show-me-a-young-team-that-has-dominated-the-league-im-not-really-worried-too-much-about-their-age%e2%80%9d/ar-AAO1XjF"
"1630625562-796","https://www.msn.com/en-us/Sports","49ers Reportedly Signing Former Buccaneers Tight End
                        The NFL’s final cut deadline came and went on Tuesday afternoon, leaving many players around the league looking for new teams on Wednesday. The San Fransisco 49ers acted quickly and signed a former Tampa Bay Buccaneers tight end to their practice squad this afternoon According to ESPN’s Adam…
                            
                                    


                The Spun","https://www.msn.com/en-us/sports/nfl/49ers-reportedly-signing-former-buccaneers-tight-end/ar-AANZC0Y"
